feature,lasso_coefficient,kept
_PolarityD3025,0.10401306270668474,True
KW,-0.06635985031958815,True
DI,0.06291379648973243,True
GearyAuto_FreeEnergy5,-0.05970162381534344,True
CY,-0.05901104888688659,True
VR,-0.05171516152120499,True
AF,0.03572058637977557,True
MoreauBrotoAuto_Polarizability3,0.0345431041269706,True
GearyAuto_Steric10,-0.03372293093780474,True
WM,-0.029868715626371018,True
RH,0.02584474869314614,True
QSOgrant3,0.02565702484195585,True
MoranAuto_Mutability7,-0.024920631374452648,True
AH,0.024677145897725024,True
LI,-0.02099039066022802,True
DR,0.01956942272134113,True
HY,-0.019189405950007076,True
AM,0.018041435799498094,True
QY,0.017239657248764476,True
MW,-0.016811762045386716,True
SI,0.01566222402855054,True
IG,-0.015491059389138955,True
MoreauBrotoAuto_AvFlexibility23,-0.01520380564005479,True
HT,-0.014005348627639332,True
IE,-0.013668985452120919,True
MoreauBrotoAuto_Mutability17,-0.013360975523507419,True
RP,0.013233237401005217,True
FC,-0.012807805621301786,True
NN,0.01253312963776653,True
CK,0.011662884839993753,True
ND,0.011574817147437327,True
GearyAuto_Steric11,-0.011543934214963358,True
CC,0.00933218467001753,True
AT,-0.0089810708027113,True
NM,0.008770488160864212,True
FD,0.007453621763107395,True
SD,0.007349518608103141,True
GearyAuto_AvFlexibility9,-0.006196461254101312,True
HA,0.005996290213526711,True
YR,-0.005683923561697511,True
VD,0.005181845408603936,True
QSOSW18,0.004585543194496843,True
MoranAuto_ResidueVol5,-0.004224363349005678,True
WQ,0.0035543940479785207,True
MoreauBrotoAuto_ResidueASA29,-0.002554869668111467,True
PT,0.0024686348474042643,True
HQ,-0.0014480880573269133,True
GearyAuto_Polarizability4,0.001335824098843971,True
WH,0.0011581886737766316,True
LQ,0.0010820090999653566,True
GearyAuto_Steric5,-0.0005101269687620599,True
VV,-0.00019717919122864925,True
DC,-8.429095526951447e-05,True
MN,1.4441576128759198e-05,True
NW,-0.0,False
NC,-0.0,False
ES,0.0,False
EP,0.0,False
EM,0.0,False
EK,-0.0,False
EH,0.0,False
EQ,0.0,False
EC,-0.0,False
ED,0.0,False
EN,0.0,False
CW,-0.0,False
CS,0.0,False
EW,0.0,False
QE,-0.0,False
QQ,0.0,False
QA,0.0,False
EY,-0.0,False
GA,0.0,False
QT,0.0,False
GT,0.0,False
GC,0.0,False
GW,-0.0,False
GY,0.0,False
HR,0.0,False
GM,-0.0,False
QL,0.0,False
QK,0.0,False
QF,0.0,False
QM,0.0,False
QP,0.0,False
QS,0.0,False
QG,-0.0,False
QD,-0.0,False
HM,0.0,False
HL,0.0,False
HI,-0.0,False
HH,-0.0,False
RG,-0.0,False
NI,0.0,False
RV,-0.0,False
DD,0.0,False
DM,0.0,False
DP,-0.0,False
CN,-0.0,False
DV,0.0,False
CD,0.0,False
CE,0.0,False
DH,-0.0,False
DN,0.0,False
CG,0.0,False
CQ,-0.0,False
CL,-0.0,False
CI,-0.0,False
CM,0.0,False
DG,-0.0,False
DE,-0.0,False
AN,0.0,False
RY,-0.0,False
RF,0.0,False
RL,-0.0,False
AC,0.0,False
AY,-0.0,False
AR,-0.0,False
RA,0.0,False
AV,-0.0,False
MT,0.0,False
MS,-0.0,False
MP,0.0,False
MF,0.0,False
MM,0.0,False
MG,0.0,False
MQ,0.0,False
MR,0.0,False
KC,0.0,False
MA,-0.0,False
KY,0.0,False
KS,0.0,False
LY,-0.0,False
KG,0.0,False
LS,-0.0,False
LW,-0.0,False
HS,0.0,False
HW,0.0,False
LP,0.0,False
LC,-0.0,False
IV,0.0,False
LA,-0.0,False
IP,0.0,False
IY,-0.0,False
HN,-0.0,False
HD,0.0,False
HC,0.0,False
HG,-0.0,False
FV,0.0,False
PA,0.0,False
FG,0.0,False
PD,0.0,False
SS,-0.0,False
SP,0.0,False
SM,-0.0,False
SH,0.0,False
SE,0.0,False
TQ,-0.0,False
SV,0.0,False
TN,0.0,False
TF,0.0,False
TM,0.0,False
TP,0.0,False
