feature,lasso_coefficient,kept
_SolventAccessibilityC1,-0.10811921670795635,True
APAAC11,-0.09516143291803114,True
_PolarityC1,-0.07857736247539555,True
QSOSW23,0.06249783684462312,True
tausw7,-0.06160761942424846,True
QSOgrant20,0.05712093048108958,True
MoranAuto_FreeEnergy4,-0.053627272016277074,True
FL,-0.051103226105242004,True
HE,-0.050615199134335,True
KL,-0.04993144339908768,True
QK,0.04895525278683541,True
QSOSW11,0.04671627122976082,True
MoranAuto_Hydrophobicity4,-0.04585181080457133,True
_HydrophobicityC3,-0.04462542420394661,True
CY,-0.04453359583598423,True
_SolventAccessibilityD2075,-0.04188834803184035,True
AP,0.039488399582793675,True
AE,0.0355411726623631,True
KK,0.03482615494888488,True
SL,-0.03417334631840977,True
_ChargeD1025,-0.030414912236420007,True
_ChargeT12,0.029969914884821203,True
IF,-0.028857552641579996,True
_SecondaryStrD3100,-0.026443254136137625,True
MC,0.025534769163717594,True
LI,-0.025071969544336374,True
WA,0.023639775074055545,True
_ChargeT13,0.022767773803213622,True
MT,-0.02163436303380542,True
AY,-0.021403121104410026,True
MoreauBrotoAuto_FreeEnergy11,-0.020226695745328555,True
GW,0.019620291304819307,True
MoreauBrotoAuto_Steric4,0.01791562057629553,True
MoreauBrotoAuto_ResidueASA11,0.017584533561847065,True
P,0.017515194766594838,True
KP,0.016640625381486456,True
_PolarizabilityD2025,0.016328505663765404,True
GearyAuto_ResidueVol7,-0.016153733154931967,True
DL,0.01592502722572877,True
SD,0.01577436354076342,True
DG,0.015556569893170174,True
LC,0.015396042964217892,True
QSOgrant2,-0.015059382620740644,True
_PolarizabilityD2100,-0.014940856669843074,True
SN,-0.014631305288071128,True
_ChargeT23,0.014604626249145184,True
GearyAuto_FreeEnergy9,-0.01444678302109569,True
MoranAuto_Steric8,0.014009623190981445,True
NW,-0.014007161469559503,True
MoranAuto_ResidueVol6,0.012938830404669912,True
FH,-0.012153139903901846,True
GearyAuto_Polarizability3,0.012137407483770832,True
MoreauBrotoAuto_Polarizability11,0.011900286446029452,True
TL,-0.011398031223485783,True
KC,-0.010998777708011089,True
GearyAuto_FreeEnergy8,-0.010780605817592472,True
QSOSW18,0.010518091617584486,True
MV,-0.009077713820776236,True
MoranAuto_Steric3,0.008886138641041461,True
GN,0.008545067343653377,True
APAAC12,0.008298635615628802,True
KD,0.0075358295776447115,True
MoranAuto_Hydrophobicity6,0.007321034437584746,True
HI,-0.0072358833207707175,True
PG,0.006280461150701389,True
MoreauBrotoAuto_ResidueASA29,0.00606606332838004,True
LW,-0.0060644322613735676,True
MoreauBrotoAuto_Hydrophobicity11,-0.005429949524466246,True
CG,-0.004779230315652068,True
PK,-0.004661571739113381,True
DW,-0.004300496532323892,True
PN,-0.0039593419627612725,True
RM,0.003931121618964974,True
WI,-0.003738339603073552,True
IK,0.003384098673710826,True
MA,-0.0032276218406926834,True
CN,0.0030370560698585224,True
TM,-0.002606944439394243,True
HN,0.0020789150097789157,True
EC,-0.0017997887276179564,True
GearyAuto_Steric5,0.0014133239382388887,True
CA,0.001336035061545398,True
GearyAuto_ResidueASA2,0.0012729135436977998,True
IG,-0.0012384532082578693,True
CD,0.0009192453835894159,True
VT,-0.0008256836945600292,True
NQ,-0.0007872700008521593,True
FM,0.0007279448822526651,True
HL,0.0007125998838793268,True
GearyAuto_Mutability5,0.0006823587299432518,True
_HydrophobicityD1075,-0.00032686874148117503,True
CR,0.0003015305614984095,True
DV,-0.00013248903390934437,True
HM,-0.0001266243488734156,True
MoreauBrotoAuto_Steric13,0.0,False
MoreauBrotoAuto_Polarizability8,0.0,False
GearyAuto_Hydrophobicity9,-0.0,False
GearyAuto_AvFlexibility1,0.0,False
MoreauBrotoAuto_Steric11,-0.0,False
MoreauBrotoAuto_Steric10,-0.0,False
GearyAuto_AvFlexibility3,-0.0,False
MoreauBrotoAuto_Steric8,-0.0,False
MoreauBrotoAuto_Steric7,0.0,False
MoreauBrotoAuto_ResidueVol11,0.0,False
MoreauBrotoAuto_ResidueVol3,0.0,False
MoreauBrotoAuto_ResidueVol1,0.0,False
MoreauBrotoAuto_Steric29,0.0,False
MoreauBrotoAuto_ResidueASA10,0.0,False
MoreauBrotoAuto_ResidueASA9,-0.0,False
MoreauBrotoAuto_ResidueASA8,0.0,False
MoreauBrotoAuto_FreeEnergy30,-0.0,False
GearyAuto_Polarizability8,-0.0,False
MoreauBrotoAuto_FreeEnergy10,-0.0,False
GearyAuto_Polarizability6,-0.0,False
MoreauBrotoAuto_FreeEnergy9,-0.0,False
MoreauBrotoAuto_FreeEnergy8,0.0,False
MoreauBrotoAuto_FreeEnergy6,-0.0,False
MoreauBrotoAuto_FreeEnergy5,0.0,False
MoreauBrotoAuto_FreeEnergy4,0.0,False
GearyAuto_Polarizability1,-0.0,False
MoranAuto_Steric6,0.0,False
MoranAuto_Steric4,-0.0,False
MoranAuto_Mutability2,-0.0,False
MoranAuto_Steric2,-0.0,False
MoranAuto_Steric1,-0.0,False
MoranAuto_Mutability3,0.0,False
MoranAuto_ResidueVol10,0.0,False
MoranAuto_ResidueVol8,0.0,False
MoranAuto_ResidueVol3,-0.0,False
MoranAuto_ResidueASA6,0.0,False
MoranAuto_Mutability6,0.0,False
MoranAuto_ResidueASA4,-0.0,False
MoranAuto_ResidueASA3,0.0,False
GearyAuto_FreeEnergy3,0.0,False
MoranAuto_Polarizability3,-0.0,False
MoranAuto_Mutability7,0.0,False
MoranAuto_Mutability14,0.0,False
MoranAuto_AvFlexibility28,0.0,False
GearyAuto_Hydrophobicity5,0.0,False
MoranAuto_AvFlexibility3,0.0,False
MoranAuto_Hydrophobicity7,-0.0,False
MoranAuto_Hydrophobicity1,-0.0,False
MoreauBrotoAuto_Mutability29,0.0,False
MoreauBrotoAuto_Mutability10,-0.0,False
MoreauBrotoAuto_Mutability8,-0.0,False
MoreauBrotoAuto_Steric30,-0.0,False
GearyAuto_Hydrophobicity6,-0.0,False
MoranAuto_FreeEnergy3,-0.0,False
APAAC31,0.0,False
APAAC27,-0.0,False
APAAC24,0.0,False
APAAC23,0.0,False
APAAC18,0.0,False
APAAC17,-0.0,False
