feature,lasso_coefficient,kept
CY,-0.10264677424346058,True
tausw1,-0.06665231831666306,True
tausw5,-0.052603630609251883,True
_SecondaryStrC3,0.04771586551910042,True
CL,0.031232088384534618,True
GearyAuto_FreeEnergy5,-0.030974247509509115,True
LQ,0.029521686222271446,True
AE,0.029074271424017153,True
PT,0.02753319124864618,True
QSOSW3,0.027105666434602528,True
APAAC4,0.025126543326958323,True
MoreauBrotoAuto_Hydrophobicity11,0.02480705002557669,True
RC,-0.024682973258805554,True
CF,-0.02364427919268784,True
KW,-0.02137347951809412,True
QSOSW15,0.021075232619881656,True
NK,0.020999188678809032,True
_ChargeD3025,0.020324133586429875,True
_HydrophobicityD3050,-0.019885323945051627,True
MoranAuto_FreeEnergy2,0.019613497053660472,True
GC,0.019581490399661484,True
PW,-0.018380768048326397,True
DI,0.01809125670168732,True
GearyAuto_Mutability5,0.01797510194114713,True
MoranAuto_ResidueVol18,0.01734265219315794,True
SA,0.01708294526908436,True
MoreauBrotoAuto_Polarizability15,0.01563355791154483,True
_PolarizabilityD3025,0.01528186634900664,True
VC,-0.014612573204595991,True
SC,0.014011572016210566,True
CT,0.01383146695994188,True
_ChargeD1050,0.013567965937359793,True
GearyAuto_AvFlexibility8,-0.01292570173278357,True
PD,0.01248864528407251,True
QSOSW1,0.012482858309684243,True
QSOSW14,0.012029077731555418,True
EQ,0.01197789938502265,True
DK,0.011820816286559179,True
MoranAuto_FreeEnergy12,0.01054552552537525,True
_SecondaryStrD3025,-0.010320584074217527,True
AM,0.009493167003778447,True
MoranAuto_Polarizability8,0.00946877526306445,True
CN,-0.009252501659888725,True
QSOgrant8,0.009183448386569558,True
LP,0.009024480227852467,True
MoranAuto_Mutability7,-0.008920253299511335,True
AS,0.008431142255673622,True
MoreauBrotoAuto_FreeEnergy10,-0.008374167218811422,True
MS,-0.008196185553364379,True
GT,0.008164318044924122,True
SD,0.008106706452279977,True
MK,0.008017644978011869,True
LA,-0.00782880572429796,True
WK,-0.007528549496447196,True
VD,0.0071973948469040315,True
RV,-0.007031928197754928,True
APAAC44,0.0070303640207419376,True
KE,0.006955791357507725,True
_NormalizedVDWVC1,0.006926752331641803,True
RH,0.0066785294449272425,True
MoranAuto_Steric8,0.006606644467063158,True
VE,0.006465270632396891,True
QSOSW13,0.006334406920121914,True
GearyAuto_FreeEnergy3,0.005737100742282223,True
AH,0.005713228871271699,True
TK,0.0053694831224933015,True
WL,-0.004948777752739198,True
HF,0.004943437718954871,True
CR,-0.004585117563708191,True
MoranAuto_Mutability8,-0.004040713899249728,True
QSOSW18,0.004016394328281301,True
YR,-0.003969974186505896,True
ER,0.0037499909754175253,True
_NormalizedVDWVD3025,0.0036529383240601404,True
QT,0.0034058849255171495,True
HA,0.0033953270048879647,True
TW,0.003153998611967908,True
QSOSW12,0.0024523675859792447,True
_ChargeC1,-0.002370653058648974,True
NM,0.0022143607111589666,True
MW,-0.0018838254011758436,True
QH,0.0018540360942238036,True
MoranAuto_Mutability4,0.0018069328887819656,True
TN,0.0017928632585064812,True
NV,-0.0017903242178024877,True
AT,-0.001780856600323908,True
IP,0.001762149177051276,True
HT,-0.0016829175707277781,True
DE,-0.0015407889742375855,True
GearyAuto_FreeEnergy11,-0.0011740210628099113,True
GG,0.0010317675701562068,True
QY,0.0010102119396630093,True
YH,0.0007986156031372778,True
CS,0.0006996735030724992,True
QN,0.0005553232757803551,True
EE,0.00015548581070486678,True
AV,-3.347175898921588e-05,True
VN,0.0,False
RA,0.0,False
VR,-0.0,False
MoranAuto_FreeEnergy4,-0.0,False
MoranAuto_Polarizability12,0.0,False
MoranAuto_FreeEnergy7,-0.0,False
MoranAuto_ResidueASA6,-0.0,False
MoranAuto_ResidueASA12,0.0,False
MoranAuto_ResidueVol7,-0.0,False
RE,0.0,False
MoranAuto_Steric2,-0.0,False
VQ,0.0,False
MoranAuto_Steric3,-0.0,False
YY,0.0,False
YW,0.0,False
YT,0.0,False
