,Class 0: Selective,Class 1: Pure Hemolytic,Class 2: Both Active/Toxic,Class 3: Inactive
AP,5.164104711827139e-05,0.0004950846522754061,0.0003432398719929147,0.0008647986341160578
RI,0.0020100810506014366,0.005345826519412766,0.0019263763693890788,0.002792191769392271
RP,0.002476100265990344,0.00041989180585596625,0.00015573624557936223,0.003079672040969614
NQ,0.0008971136398726896,0.0005532080780918155,0.0004058419264171736,0.0006039876403226719
NW,0.00023289209132376399,0.0,0.00036077855824679603,0.0004844764443627334
DG,0.0,0.0,0.0,0.0
DI,0.00150340228767015,0.0008148398370113718,0.000718387901489137,0.0031539717513917034
DL,0.000680269154032147,0.0006544222652837804,0.00026390490407916247,0.0016089016866176
CD,0.0,0.0,0.0,0.0
CC,0.0,0.0,0.0,0.0
CY,0.002029929237525693,0.00043880831360651587,0.0018582018497758776,0.005180794665273491
ET,0.002062863765339832,0.0006008295738467775,0.0002970961632256998,0.0029811791759712853
QN,0.0013365074572251274,0.0006600286407593457,0.0009908109185141206,0.0020351162390864694
QK,0.0003718614551636845,0.0,7.532620126647841e-05,0.0005475340415010664
GQ,0.0036033579787212787,0.0021247102922940424,0.001190913133781761,0.0011806561324150153
GG,0.0009903305181046737,0.004177239032667141,0.0006860674902085128,0.005781068878569804
GW,0.0028551022976581004,0.00015405283417167882,0.0004963516169130316,0.0028671147286862776
HE,0.0,0.0,0.0,0.0
HP,0.0,0.0,0.0,0.0
HT,0.0005812861152941569,0.00016588159737922567,0.00049230027654616,0.0
IG,0.0013658195279858927,0.0027542227938412494,0.00016659498044585948,0.0019190939080976862
II,0.0015571194840558957,0.0005248305332535097,0.00035437337895113935,0.0026850518330689393
IK,0.0026052207956390266,0.0006150608054943743,0.0018521321157312595,0.0004006898045508929
IW,0.0014477226000633467,0.005081509408382688,0.0005898194171391047,0.0034717842774624197
IY,0.003594098157134036,0.0011873506718068944,0.0010215759037881399,0.001965261117861065
LC,0.0007518826947343328,0.0019202433920021084,0.0015917267938429548,0.0031560448524233
KD,0.0021184812583421625,0.00058566499943704,0.0011098651309884634,0.002494775930289835
KK,0.004747519451437143,0.00015573099351760372,0.0004131976711787901,0.004650283314015372
KP,0.0001518507777183954,0.0006802584476596057,0.0003074149713994775,0.00123155686405887
KW,0.012472934774091563,0.0003088525669296752,8.298240203794424e-05,0.007256470348033784
MA,0.00042035106528315504,0.0019283898581530924,0.0005528433834271848,0.0014244241728241537
MC,0.0,0.0,0.0,0.0
FH,0.00046522890375989937,0.0013243281231664975,0.0002100884123175036,0.0010310071110461074
PE,0.0,0.0,0.0,0.0
PG,0.0,0.0,0.0,0.0
PK,0.001438574128521045,0.002058538177916621,0.0006667442148689043,0.0035511037275566247
SL,0.001842711327057174,0.0010088443018056005,0.0010218322166986808,0.0017846845273249627
SP,0.00018560381762990427,0.0,0.0002442174455522625,0.00028986868715635133
TL,0.002607345364353306,0.002123002888279657,0.0006337779424527323,0.001197705250480047
TK,0.0005733455054037893,0.0012256503041166422,0.0020318347718008495,0.004264005699877599
WA,0.0001737544863048625,0.00017440589622398715,2.65645511110193e-05,0.0002323124911906873
YA,0.00020069018995778995,0.0013027421280220272,0.0,0.0010982535762629722
VY,0.0,0.0,0.0,0.0
MoreauBrotoAuto_Hydrophobicity11,0.008348875644217296,0.006298413565361679,0.00234295509739485,0.0029551029640593183
MoreauBrotoAuto_FreeEnergy11,0.0055142644714338464,0.0010576282782360602,0.0014011743890785014,0.004426698592935553
MoreauBrotoAuto_ResidueASA11,0.0028252428158385117,0.0007179537182609562,0.004526431018058465,0.006475433735458737
MoreauBrotoAuto_ResidueVol29,0.0029846883919449085,0.0010731480642865122,0.0012637369114492365,0.003581150702762949
MoreauBrotoAuto_Steric4,0.00112122168700834,0.0007377514775385401,0.0005692541018590505,0.003057364323390146
MoranAuto_Hydrophobicity6,0.0032177297727716382,0.0008986446967954767,0.0014768331591336827,0.0006014907850648095
MoranAuto_FreeEnergy4,0.00460206421376935,0.006186305167182824,0.005469967309349224,0.020374956645961433
MoranAuto_ResidueVol6,0.011888879660792247,0.0017105239460160305,0.0017383709803159278,0.0024148090698109274
MoranAuto_Steric3,0.0070315981111524805,0.005600950911869311,0.0014749575234521241,0.002501346875470851
MoranAuto_Steric8,0.0005803421465253653,0.001500955965015162,0.0012790672503140055,0.0009634159649308925
GearyAuto_Polarizability3,0.002696124823586387,0.00457313428206205,0.002020912284270092,0.0005529032267728705
GearyAuto_Polarizability8,8.950046106555715e-05,0.0003670710652877586,4.167597035791575e-05,0.0007817857291970575
GearyAuto_FreeEnergy8,0.0011119366225035693,8.026360404753515e-05,0.005877114881610073,0.004966282580901675
GearyAuto_FreeEnergy9,4.203934369540475e-05,0.0005117511565900172,0.0003709363867433771,0.0007974096568491041
GearyAuto_ResidueVol7,0.0014383827356145768,0.001775913467204825,0.0003368056719367254,0.0010559196571160445
_SolventAccessibilityC1,0.0054415709987708045,0.015885412247812602,0.02036407693272154,0.04509009903537224
_PolarityC3,0.019453407055231447,0.026041330344619307,0.001525056905140227,0.0052552930176172925
_HydrophobicityC3,0.0026766596853746855,0.021120732524101227,0.0002534130135542052,0.02177085861467078
_ChargeT12,0.023931402517264992,0.0036970715557071245,0.012312107735162808,0.028335082065888816
_ChargeT13,0.001311038177795736,0.002456465065762732,0.00022720586535090044,0.004022686763954771
_ChargeT23,0.02056835519741152,0.00047515258862255056,0.000940580881739057,0.013230929868513572
_PolarizabilityD2100,0.005957134101373646,0.0033813471049119136,0.0014138430851463294,0.01537601409100901
_SolventAccessibilityD2075,0.0048819528474935816,0.0037814880322259788,0.001142116732719986,0.00033326375630423797
_SecondaryStrD3025,0.004288254638623369,0.0005698253293168257,0.005697937949226229,0.007132698338678771
_PolarityD3025,0.024063475171292,0.0001841980370012283,0.001241744779714719,0.024250323196251835
_NormalizedVDWVD2025,0.0015180267581899605,0.0017406601731723267,0.0003675019149642981,0.0009470753888680946
_HydrophobicityD1075,0.004664365035494085,0.003667426516077494,0.0009858069186322888,0.000510453343628222
QSOSW1,0.012646807682787052,0.0007319877078499561,0.000422489375163206,0.012595204403420218
QSOSW11,0.006658474090465514,0.006099778538049699,0.007836203478769217,0.024330446863919348
QSOSW23,0.00309052910990443,0.02994992100044288,0.00684370604659384,0.03585666111544529
QSOgrant2,0.0,0.0,0.0,0.0
