feature,lasso_coefficient,kept
tausw5,-0.12022429643177836,True
CY,-0.10199262935346855,True
_SecondaryStrC3,0.07972130891656909,True
_NormalizedVDWVC1,0.038648341060656705,True
GearyAuto_Mutability5,0.03631688093357508,True
GearyAuto_FreeEnergy5,-0.03550905766774879,True
MoreauBrotoAuto_Hydrophobicity11,0.03410556999563622,True
LQ,0.03396854228287973,True
KW,-0.03388200670884253,True
PW,-0.032642497274449164,True
RC,-0.029652879965644953,True
AE,0.02930777054756681,True
PT,0.02900947426806576,True
APAAC8,-0.028242379314996832,True
DI,0.02823856966705039,True
CF,-0.027367044996322604,True
NK,0.025141526644663736,True
QSOSW12,0.025062289350647134,True
MoranAuto_FreeEnergy2,0.024961707335990017,True
_PolarizabilityD3025,0.024313977144460177,True
CT,0.022519589026488394,True
DK,0.021907422483176557,True
MoreauBrotoAuto_ResidueASA2,0.020455621954829358,True
QSOSW1,0.020284059149790087,True
FV,0.019192435553457607,True
LP,0.018806249983622247,True
_ChargeD1050,0.018387212835266543,True
KE,0.017431026770540294,True
EQ,0.017103794033490622,True
GearyAuto_AvFlexibility8,-0.01704527492016487,True
MoreauBrotoAuto_FreeEnergy10,-0.01696726805834956,True
VC,-0.01690850508744433,True
MoranAuto_Mutability8,-0.01640586388939233,True
RH,0.01625159166256259,True
AH,0.016184069536143205,True
GT,0.015538466332431647,True
QL,0.015424790283444716,True
MoranAuto_Mutability7,-0.015304279143686874,True
CN,-0.01486911182026039,True
HY,-0.014308090394652858,True
ES,0.014006207468917224,True
QSOSW13,0.013945612062527356,True
PD,0.013775970701947474,True
SD,0.013463442049126627,True
QSOgrant3,0.012788700211872384,True
AS,0.012779997044771008,True
MoranAuto_Polarizability8,0.012461891015206804,True
QSOgrant8,0.01215223180694116,True
WK,-0.011561688188054508,True
MoreauBrotoAuto_ResidueVol14,0.011496241980333236,True
_ChargeC1,-0.011188666566734928,True
QSOgrant16,-0.011185388189353137,True
NI,0.010822540847826818,True
DF,0.010259233412724698,True
HA,0.010223724589596942,True
IP,0.009555119078140308,True
MoranAuto_FreeEnergy12,0.009301940744732614,True
VD,0.009261606272047428,True
MoranAuto_Steric8,0.00923365362352755,True
RV,-0.009221729186154298,True
GearyAuto_FreeEnergy3,0.009194547494068358,True
MoranAuto_Hydrophobicity11,-0.008699331939416164,True
_SecondaryStrD3025,-0.008548438101470728,True
WD,0.00832748943962661,True
QSOgrant1,-0.00832440055856902,True
CR,-0.007207211965877397,True
YR,-0.0071939959858708736,True
QSOSW18,0.007035196997122373,True
QSOgrant14,0.0069991353849388465,True
MW,-0.006915450044516485,True
WM,-0.00685767875242404,True
APAAC44,0.00684999006019696,True
MoranAuto_Mutability4,0.006799490452020608,True
APAAC1,-0.006777168550833684,True
GL,-0.006741913502974813,True
GG,0.0064465191535854165,True
QT,0.006173227341169933,True
EE,0.006100896346277535,True
MoreauBrotoAuto_AvFlexibility4,0.005800497339439216,True
MoranAuto_Mutability2,-0.005555550788978546,True
QN,0.005507172943491587,True
NM,0.005505449008078693,True
YF,-0.005492216992391305,True
FD,0.005445132736847411,True
AT,-0.0052426231454568714,True
MoreauBrotoAuto_Steric13,-0.005054092568594565,True
FA,0.004340855687059787,True
HT,-0.004340135943554963,True
HC,0.0043230628489168334,True
CS,0.004232402696264668,True
DE,-0.004154637187899666,True
_SolventAccessibilityD2075,0.004109507388681083,True
FQ,0.004087639638411241,True
YH,0.00381962586758087,True
GearyAuto_ResidueASA7,-0.0038143060979928724,True
AF,0.003751336239466952,True
QSOgrant20,0.003675875745365181,True
MQ,0.0034872979038215266,True
MoranAuto_Mutability10,-0.0033302474237620126,True
WG,0.0031498882951918263,True
QH,0.003132424861145486,True
_HydrophobicityD2075,-0.0030869965924935896,True
MoranAuto_Hydrophobicity6,-0.0029782622636130517,True
MT,0.002894315620261857,True
IV,0.002778642971722477,True
LV,0.002754642572766597,True
PE,0.0025767143182165286,True
MoranAuto_Steric7,0.0024093216788347166,True
NP,0.002384774081988296,True
EK,0.002326324878623266,True
CV,-0.002062460870189488,True
MoranAuto_Hydrophobicity7,-0.0016282736897477836,True
PV,0.0011655995422856253,True
GN,0.000892933035951052,True
QSOSW19,0.000721492812865654,True
_SolventAccessibilityD3001,-0.0005545409552996911,True
MoranAuto_Steric6,-0.00034314607634685767,True
VQ,0.0003388022927452441,True
FP,0.0002655432384682751,True
WC,-0.00022394001507458551,True
TH,0.0001555418096446624,True
