,Class 0: Selective,Class 1: Pure Hemolytic,Class 2: Both Active/Toxic,Class 3: Inactive
AE,0.0012926084602311904,0.00041418447710236765,0.0002890155901070069,0.0011045711484301065
AH,0.0011997269398997467,0.0005158989927048391,0.00012769936215679885,0.001877484126293513
AF,0.0009272636312550617,0.003196611083131634,0.0005737837643982918,0.0030153687436615356
AS,0.001342262961921204,0.0007088181153654973,0.0006170752177045851,0.0
AT,0.001119996492405653,0.0011157872984369147,0.0003434039621651427,0.0005892330327835378
RC,0.0012780428345002264,9.129076235822291e-05,0.0003439747243025062,0.0007703144813509886
RH,0.0,0.0,0.0,0.0
RV,0.00013514063352385803,0.0,8.615572880229987e-05,0.0002856210987344262
NI,0.0,0.0,0.0,0.0
NK,0.0021185197743050503,0.0024470794468857684,0.003083000537759902,0.0077252039799744635
NM,0.0,0.0,0.0,0.0
NP,0.0005057988904267976,0.0007789301893069052,0.0010861431611510408,0.00015176926916900434
DE,0.0,0.0,0.0,0.0
DI,0.0011711908421347982,0.0007965660697670789,0.0004962140217566405,0.002488658850168507
DK,0.0012137911757905484,0.0011474956778703804,0.0005883019339553951,0.0030441716496085003
DF,0.0010947833278556935,0.0018879127757648467,0.0006695674904766368,0.00032263265555879014
CR,0.00010759890673399904,0.0011582045529481128,0.0005065607890336235,0.0009321871854429012
CN,0.002632711763961337,0.000829239578199727,0.00017943685831253026,0.0015278877727277042
CF,0.001470626512559266,0.00010131592954233175,0.0003299761273964842,0.0009689129482057834
CS,5.0675065610017085e-05,0.0016987000276932223,0.00032407326483664217,0.0017037229084856493
CT,0.0,0.0,0.0,0.0
CY,0.0013711028538513734,0.00013077335120444735,0.000733166221487639,0.001903268824324296
CV,0.003681014827348644,0.0008005208986738737,0.00017739571906846862,0.005128327738683147
EE,0.0007901564385678188,0.0002775749233657286,0.00041738938832066154,0.0009139204237475942
EQ,0.0,0.0,0.0,0.0
EK,0.0011321576566324847,0.001617826061777861,0.0013268415313011607,0.0014056095806903072
ES,0.000676504292231675,0.00047314874327095683,0.0003343875962488933,0.000542165885856409
QN,0.0019363263841390467,0.00046943891003337665,0.000405562981435626,0.0020910288228570646
QH,0.0011498815114833762,0.0008953487812534258,0.0009954717744431192,0.0012047709308672253
QL,0.0006396855114863838,0.00040042316051195015,0.0006169223300532419,0.0016795906976588657
QT,2.851045661945619e-05,0.0,0.0,0.0
GN,0.0015462872238353894,0.0026005217402331375,0.0007774423450333592,0.004936443750608547
GG,0.00034235133544780643,0.002737262022615584,0.00031370675762796044,0.002057655807118692
GL,0.0007027187337895708,0.003261807790048382,0.0018801937982112454,0.008177633779233123
GT,0.0004677296908876401,0.0003985130185998485,0.0004702013355841652,0.0010605864885181652
HA,0.0010072587529863866,0.0024569211301169467,0.0008545607107057454,0.004356232960917109
HC,0.0,0.0,0.0,0.0
