,Class 0: Selective,Class 1: Pure Hemolytic,Class 2: Both Active/Toxic,Class 3: Inactive
AE,0.0007384361785965145,0.00025546815662208185,0.00033290834359391664,0.0009477521168506349
AF,0.0006210117473087196,0.0022692541336051713,0.0004314463639623402,0.0014954946815330017
AH,0.0012696585958715547,4.3479616235274595e-05,0.00020048738709737036,0.0011112836058385272
AP,4.746434752224353e-05,0.00040543825595504784,0.0002702180820209911,0.000759656393105829
APAAC1,0.00021153349604705217,0.00019774975468554376,0.003961009937544414,0.0014135803610347286
APAAC11,0.0009847693750829243,0.01933693540887673,0.001041160294107748,0.017977061391420267
APAAC12,0.0014583341113651278,0.0005094644360288213,0.0003676457590128279,0.0003064675773622089
APAAC33,0.0,0.0,0.0,0.0
APAAC44,4.764323390247033e-05,0.0005114982937883685,5.689635458950851e-05,0.0004404462659529006
APAAC8,0.0002188513347214279,0.0010144268665794728,0.00020206470636846083,0.00024409601200970396
AS,0.00048820096983688023,0.0002632558200686704,0.0006956881946630639,0.0
AT,0.0006111585042027696,6.861459218052324e-05,7.755318716907781e-05,0.000701809988631461
CC,0.0,0.0,0.0,0.0
CD,0.0,0.0,0.0,0.0
CF,0.0010835752410590428,0.00016581857095513205,0.0002905324383825208,0.0008528489030078542
CN,0.0020740984180058456,0.00041961556560071717,0.0,0.0017282928143312621
CR,0.00021102151418385225,0.0006382302934274939,0.00029957596931402277,0.0005639631449600684
CS,0.0,0.001053258129723951,0.00029850484106907094,0.0010106375170043798
CT,0.0,0.0,0.0,0.0
CV,0.00304367837636545,0.00013445667296420368,0.0001899648175324069,0.003964649149419108
CY,0.0009621233576986713,9.305028744206308e-05,0.0006128763763172357,0.0021389626950958215
DE,0.0,0.0,0.0,0.0
DF,0.0004354060463113505,0.0016051061417200255,0.00034233327035663823,0.000560934610580369
DG,0.0,0.0,0.0,0.0
DI,0.0008616285355908579,0.0002311736583049609,0.00029937568860263845,0.001474453157030248
DK,0.001361988656131539,0.000455137837504423,0.0003183416008252152,0.00216883465834346
DL,0.0005575509290029764,0.0005646232600108693,0.00029290371693690205,0.001455816784510715
EE,0.0007760851319438734,0.00023135490644722912,0.00017200971751640804,0.0007200473709192242
EK,0.0019718971480281434,0.0002348353679488721,0.0006886328031261851,0.0008270852520603944
EQ,0.0,0.0,0.0,0.0
