,Class 0: Selective,Class 1: Pure Hemolytic,Class 2: Both Active/Toxic,Class 3: Inactive
AI,0.00274342752237034,0.001743133751910076,0.0004338280956176551,0.0008243972270473327
AP,0.0003924208736851642,0.0005265789000756415,0.0003017659288501968,0.0011128235563120138
RY,0.0010405202177226995,0.0,0.0003642348213250967,0.001462764624732492
NW,0.0002531290259506298,0.00025132290424616845,0.00035979499291624844,0.00016752077183759993
DI,0.001653593376353904,0.00011695105671365088,0.0006222660613244356,0.0025110391772802253
CN,0.0013022878153121143,0.0007703425539292422,0.00011338797227113372,0.0014315717797731167
CG,0.003828597966348803,0.0014472028439518466,0.0008124644506097318,0.0041078999571276704
CF,0.0009279826103582747,0.0010212104283897421,0.0008600236763604353,0.0017560678165960625
CS,0.000883020704676713,0.0019176980768096836,0.0002221463034676985,0.001804197550503361
ET,0.0023513319247776233,0.0002964675614833187,3.211435461510264e-05,0.002505190982153426
QK,0.0,0.000306862076935903,0.000389114464125831,0.0008460430552061112
GW,0.0022923364694516462,0.0005171781449944692,0.0006688277319489389,0.002950301139123479
HC,0.0,0.0,0.0,0.0
HE,0.0,0.0,0.0,0.0
HH,0.0004104089446391737,0.0002417062979400601,0.00015476878205887781,0.00028156196013819936
HI,0.0020328006398501164,0.00155977237199101,0.0013234649939772877,0.004469197207868252
HM,0.0008555048802159897,0.0004985240717070355,0.000639014845763109,0.000763327731648518
HT,0.0,8.19316915828092e-05,0.00015357169022279534,0.0
IQ,0.0013351935773887463,0.00012836976270883923,8.231405965466785e-05,0.0007305444497077804
IK,0.00637457279454911,0.0018219289779505524,0.000492826864117588,0.006184600437753394
IF,0.0035660501872849387,0.0032672968492429067,0.0045994808460950295,0.007605750667314426
IY,0.00022104078379440783,0.0011485428310430167,0.000985325646881612,0.0016778631448355764
LR,0.0037933155333414697,0.0010011053262390921,0.002408034880599026,0.0004562778775396935
LC,0.0050746551188293,0.0002668116487444106,0.001115940859973818,0.003279561116190198
