feature,lasso_coefficient,kept
CY,-0.10422643438206275,True
tausw5,-0.10206987572970293,True
_NormalizedVDWVC1,0.07394803859409119,True
_ChargeD1025,0.06773030139778476,True
_ChargeT23,0.04765890139747282,True
QSOSW3,0.040332221842786044,True
KW,-0.03398414731520845,True
VC,-0.028084376865011446,True
MoreauBrotoAuto_ResidueASA1,0.02733371482470335,True
NK,0.026892250785225155,True
RC,-0.025450500883214062,True
FL,0.023503569999663503,True
CF,-0.02102623717940772,True
MoranAuto_FreeEnergy3,-0.02011910700110351,True
RH,0.01933031573902955,True
LP,0.018734844018537374,True
IH,-0.018580888323865077,True
QSOSW12,0.0179145732181067,True
CL,0.0178102706954229,True
SV,-0.017122854844582213,True
PV,0.01701399133597609,True
_ChargeD3025,0.016462508171767143,True
AE,0.015954488692816553,True
CV,-0.015124007940354713,True
HA,0.014997850949657216,True
PW,-0.014866335996225494,True
MoranAuto_Hydrophobicity7,-0.014769093695827835,True
IP,0.01473196606861511,True
CT,0.014452331455800356,True
CN,-0.01421655458631465,True
QSOgrant8,0.013953397362514159,True
FS,0.013913180898051351,True
MoranAuto_Polarizability8,0.013784123966245251,True
IL,-0.01306420181060596,True
QSOSW13,0.012850568057478712,True
DI,0.012220764358653916,True
GearyAuto_Mutability5,0.011938423346839143,True
APAAC1,-0.011592257062479717,True
MoreauBrotoAuto_Hydrophobicity16,0.011402039843328783,True
QN,0.011255943959978483,True
W,-0.010976703055198654,True
_SecondaryStrD3025,-0.010660891153384798,True
MoranAuto_ResidueVol13,-0.010523572572910709,True
VD,0.009615675922800573,True
KE,0.009337092406828834,True
NI,0.009021682257988594,True
TK,0.008389301231558758,True
ES,0.007861338886334111,True
SE,0.007653359419149342,True
MoranAuto_Mutability10,-0.007621574668991565,True
AS,0.007497318472536531,True
MoranAuto_Mutability8,-0.007308879069544852,True
MoranAuto_Steric6,-0.00713214161670238,True
AH,0.006979483300210045,True
TT,-0.0064926395424116665,True
APAAC8,-0.0058287203370622044,True
YY,0.00582116969647108,True
MoranAuto_Mutability7,-0.005737559072981441,True
TP,0.00524064294918728,True
WL,-0.00515029882562535,True
QSOgrant20,0.005006610582641414,True
MoranAuto_FreeEnergy12,0.004996791406526682,True
LW,-0.0048738587860025755,True
NV,-0.004854902558111348,True
L,-0.004759540831572309,True
HF,0.004711854300200395,True
SH,0.004642556582759585,True
PG,0.004554695143013321,True
_SecondaryStrT13,0.004358052002188855,True
WE,-0.0043542279170387275,True
DR,0.004309063589717067,True
MN,0.003997470917772184,True
RR,0.003899342046932779,True
QSOgrant9,-0.0038783964158703855,True
_SecondaryStrD2100,-0.003867838807010241,True
MoreauBrotoAuto_Polarizability12,0.0035816122340259376,True
KD,0.003227508349280924,True
AM,0.003117828362555173,True
AY,-0.0027527654842139783,True
WN,-0.002594948124493864,True
IT,0.0025728490973520126,True
_SecondaryStrD3001,-0.002560350385791074,True
HC,0.0019819344905959886,True
GN,0.0018777942075874892,True
FD,0.0015199726795158952,True
MoreauBrotoAuto_Hydrophobicity8,0.0014089703683606582,True
PA,0.001297357416074966,True
QSOgrant15,0.000928733039301775,True
CD,0.0008113979538958777,True
KM,0.0006682719903159247,True
DS,0.000667262796037254,True
GY,0.000647511905608713,True
GearyAuto_FreeEnergy11,-0.00047279442570151463,True
PL,0.00041922303849033086,True
FE,-0.00041554140639682164,True
NC,-0.0003579341468157137,True
QK,0.00012959541386924363,True
HS,0.0,False
IC,-0.0,False
AC,0.0,False
HW,-0.0,False
RA,0.0,False
AP,0.0,False
AW,-0.0,False
QSOgrant17,0.0,False
APAAC2,0.0,False
QSOgrant6,-0.0,False
QSOgrant5,-0.0,False
GP,-0.0,False
GF,-0.0,False
GH,-0.0,False
GR,-0.0,False
LC,-0.0,False
GA,0.0,False
LD,0.0,False
LN,-0.0,False
IQ,0.0,False
LR,-0.0,False
IV,0.0,False
IW,-0.0,False
IA,0.0,False
HL,0.0,False
HI,-0.0,False
GW,-0.0,False
KR,-0.0,False
LV,0.0,False
LS,-0.0,False
LF,-0.0,False
MH,-0.0,False
MI,0.0,False
KQ,0.0,False
MQ,0.0,False
MT,0.0,False
MP,-0.0,False
LI,-0.0,False
LG,-0.0,False
HE,0.0,False
HQ,-0.0,False
HH,0.0,False
GT,0.0,False
FF,-0.0,False
FI,-0.0,False
FC,-0.0,False
FN,-0.0,False
MV,-0.0,False
FR,-0.0,False
FW,-0.0,False
PH,0.0,False
PF,-0.0,False
PP,-0.0,False
PY,0.0,False
PS,-0.0,False
SG,-0.0,False
SL,-0.0,False
PI,0.0,False
FY,0.0,False
SP,-0.0,False
SK,0.0,False
TR,0.0,False
TE,0.0,False
Y,0.0,False
QSOgrant10,0.0,False
QSOgrant7,0.0,False
QSOgrant4,-0.0,False
QSOgrant13,0.0,False
QSOgrant11,0.0,False
QSOgrant16,-0.0,False
QSOgrant14,0.0,False
K,-0.0,False
H,0.0,False
AR,-0.0,False
G,-0.0,False
EV,-0.0,False
ET,0.0,False
EF,0.0,False
EM,-0.0,False
EA,0.0,False
WT,-0.0,False
WP,-0.0,False
WH,-0.0,False
WG,0.0,False
WC,-0.0,False
TI,-0.0,False
TW,0.0,False
YR,-0.0,False
QS,0.0,False
QI,0.0,False
QR,-0.0,False
YW,0.0,False
YT,0.0,False
YV,0.0,False
VA,-0.0,False
VM,0.0,False
VP,0.0,False
VR,-0.0,False
VI,0.0,False
VW,-0.0,False
YD,0.0,False
YG,0.0,False
YM,0.0,False
YF,-0.0,False
YS,-0.0,False
QH,0.0,False
QG,-0.0,False
MoreauBrotoAuto_Polarizability7,-0.0,False
MoreauBrotoAuto_AvFlexibility2,0.0,False
MoreauBrotoAuto_FreeEnergy3,-0.0,False
MoreauBrotoAuto_FreeEnergy4,0.0,False
MoreauBrotoAuto_ResidueVol8,-0.0,False
MoreauBrotoAuto_Steric8,-0.0,False
MoreauBrotoAuto_FreeEnergy16,-0.0,False
MoreauBrotoAuto_ResidueASA9,0.0,False
MoreauBrotoAuto_Mutability11,-0.0,False
MoranAuto_Hydrophobicity3,0.0,False
MoranAuto_Hydrophobicity6,-0.0,False
MoranAuto_AvFlexibility4,-0.0,False
MoranAuto_AvFlexibility7,-0.0,False
MoranAuto_FreeEnergy7,-0.0,False
MoreauBrotoAuto_Steric10,0.0,False
MoreauBrotoAuto_Steric13,-0.0,False
DC,-0.0,False
DD,0.0,False
DF,0.0,False
DQ,0.0,False
DW,-0.0,False
DY,-0.0,False
CA,-0.0,False
CR,-0.0,False
CP,0.0,False
VT,-0.0,False
VV,-0.0,False
VY,0.0,False
MoreauBrotoAuto_Hydrophobicity2,0.0,False
MoreauBrotoAuto_AvFlexibility1,0.0,False
QV,-0.0,False
YA,-0.0,False
MoranAuto_Steric12,0.0,False
MoranAuto_Steric9,-0.0,False
MoranAuto_Steric4,0.0,False
MoranAuto_ResidueVol7,-0.0,False
MoranAuto_ResidueASA12,0.0,False
MoranAuto_ResidueASA4,0.0,False
MoranAuto_FreeEnergy30,0.0,False
MoranAuto_Mutability1,0.0,False
GearyAuto_ResidueVol4,-0.0,False
GearyAuto_Steric1,0.0,False
