,Class 0: Selective,Class 1: Pure Hemolytic,Class 2: Both Active/Toxic,Class 3: Inactive
L,0.006642780699930786,0.043201694856385836,0.009944012831414181,0.04276844907297384
W,0.004742377289176202,0.0005548802165403217,0.0,0.0012939727083083065
AE,0.0009561134416152874,0.0008332301044024527,7.844818140388263e-05,0.0004708656652468846
AH,0.0010880741604520254,0.0004397921396200658,0.00020750896230218983,0.0017935775550852113
AM,0.002265183915270319,0.00040136354081840483,0.0010631562408004815,0.0016319575611319077
AS,0.00034706067780591464,0.00029495091777702467,0.00019984748298673048,0.0005738422729953365
AY,0.0,0.0,4.986531802503996e-06,0.0
RR,0.0009103472342698824,0.004118617113737951,0.005357529906272687,0.010439903624319992
RC,0.0011152681349332204,0.0005063040810704781,0.00038742455575855217,0.0013036124248672462
RH,0.0,0.0,0.0,0.0
NC,0.0,0.0,0.0,0.0
NI,0.0,0.0,0.0,0.0
NK,0.001835883282598708,0.0022299614004868073,0.002229236926228686,0.007268955842840304
NV,0.0014146538683955392,0.003180271070239405,0.0009523379727258943,0.0008991422447822868
DR,0.0,0.0,0.0,0.0
DI,0.0005426119918760357,0.0,0.00017515888018439498,0.0005867669847661759
DS,0.0,0.0,0.0,0.0
CN,0.0023582616783881173,0.000372676670142234,3.869623062922994e-05,0.001956500937150483
CD,0.0,0.0,0.0,0.0
CL,0.0012358586932011467,9.972380394794586e-05,0.00026978785572538965,0.0013722967501727731
CF,0.001786695924520252,0.0005639066056745787,0.0007289159372621356,0.0016414776229060958
CT,0.0,0.0,0.0,0.0
CY,0.00290399558938628,0.00041820904743886355,0.0013121413462446017,0.0034085021520239354
CV,0.00224963197226609,0.002757541705996591,0.00033262031076858155,0.004766157598001978
ES,0.0,0.0007425254485328061,4.9468107264874434e-05,0.0006880892123603449
QN,0.0024576831047552162,0.0005962531457925157,0.00036637456930738513,0.0017947808201578704
QK,0.0,0.00030519602858000033,0.0001722260337975747,0.0006420607930465878
GN,0.0010969076480374595,0.0016886299167504218,0.0007027883107288345,0.0034618725697679016
GY,0.0,0.0,0.0,0.0
HA,0.0005612653858627146,0.0018283946480120868,0.001656795267277707,0.0039350486663058
HC,0.0,0.0,0.0,0.0
HF,0.0004196994431970426,0.00010473545607695953,0.0,0.0002843600898947553
IH,0.001213924941068987,0.0,0.001109323654952745,0.0
IL,0.001223057959192627,0.0016193896432476406,0.0002494625885821596,0.0005515958323848297
IP,0.0015740051131263887,0.0037091220427543595,0.00048638395917661477,0.001087852622300546
IT,0.004759343977969597,0.0024798083139550265,0.0006613402911020532,0.00287629808830621
LP,0.0008998333197728516,0.0035929946390993025,0.003744723731595118,0.0016012945383453423
LW,0.0024574584596051274,0.0029165550155503487,0.0012312643960742744,0.002891864080564841
KD,0.003185145961853418,0.0007233371864374225,0.0006958539432936689,0.004472174438445957
KE,0.0024121507010443524,0.0019365615600878058,0.0007845929745010332,0.0033987449794583213
KM,0.0,0.0001360041126220554,0.0003468706268397947,0.00017886013173646023
KW,0.0032048664648073066,0.00036201017108025826,0.0,0.0020410933116190248
MN,0.00034594910709602646,0.0,3.217139401878471e-05,0.00033689579219574073
FD,0.0,0.0,2.547707274905391e-06,0.0
FE,0.0,0.0,0.0,0.0
FL,0.012378288193074757,0.013437049492530962,0.0011968990843690898,0.0027337019464092854
FS,0.0021235052093114,0.0009715249653247535,0.0009809021719073769,0.0007100523073150189
PA,0.001510293806729697,0.0023267401023839285,0.0007859817934277799,0.0020133356408325335
PG,0.0,0.0,0.0,9.15017845479679e-05
PL,0.00016377420500126452,0.0001240322658060291,0.00023079199066122134,0.0006100844496547749
PW,0.0017477124622067497,0.0017217301808815481,0.0003116050772223729,0.00018351657791632135
PV,0.000369152303470705,0.0013558856623934355,7.0118299030687e-05,0.0016959325020575687
SE,0.0007572821959616397,0.00014576340403671306,0.0002020921069789449,0.0011014754863864086
SH,0.0,0.0,0.0,0.0
SV,0.0016685269162630783,0.003203195052935431,0.0006327343779117656,0.005374096825547658
TK,0.0013719478802704033,0.0006808731882289508,0.0005135239532052934,0.00023928794201287374
TP,0.0003553736742770578,0.00016122163811284609,0.0002809194059007463,0.00044015339789486754
TT,0.0007516820843410939,0.0005097039966234097,0.0009181705158576233,0.0006083726545569668
WN,0.001325016746206665,0.0010973589402378302,0.001050454172107285,0.002005561146689747
WE,0.0,0.0002898046193928742,0.00019085127911159562,0.0
WL,0.00034970639294125573,0.002062436705943942,0.0003211597992084752,0.0013196038691627133
YY,0.0013494372600105547,0.0007264073278687936,0.0002083771204569027,0.0022819246554642942
VD,0.0006950443939153203,0.00010839736255579459,0.00025939391996048,0.0010542886859819765
VC,0.0012721343672762384,0.002685057439540736,0.0012173225316603272,0.0032145359056136185
MoreauBrotoAuto_Hydrophobicity8,0.011161215231538936,0.012422805148201016,0.0018345594916546137,0.0020320544031782756
MoreauBrotoAuto_Hydrophobicity16,0.0006487460121523097,0.0008272221921487686,0.0007740872109461433,0.0011655280100126041
MoreauBrotoAuto_Polarizability12,0.00207697517194128,3.8614168583051456e-05,0.0053754097773931015,0.007152067446961717
MoreauBrotoAuto_ResidueASA1,0.0025614787708500785,0.0007344292441651745,0.00012029133647086422,0.004124125188255366
MoranAuto_Hydrophobicity7,0.005961993245453706,0.0005409984528814092,0.0003552394687678332,0.004630701364206139
MoranAuto_Polarizability8,0.0020520045234525297,0.0001686111004406742,0.00017751741035409603,0.0012749041727931497
MoranAuto_FreeEnergy3,0.009130412683023035,0.0004168586619631567,0.010398187438276094,0.01978318346226969
MoranAuto_FreeEnergy12,0.0027132305197014608,0.0021648452247072475,0.0007326255140789231,0.0028834765906667835
MoranAuto_ResidueVol13,0.0016957038886994337,0.00029189435838793967,0.0007938595152835618,0.0025251726299043843
MoranAuto_Steric6,0.0006972750534951965,0.00410202361127566,0.00048460642690505693,0.0031491787171806017
MoranAuto_Mutability7,0.007089072559612861,0.0012366309506343439,0.004241768232081651,0.009938836485933522
MoranAuto_Mutability8,0.004094101227922187,0.0026218214386142706,0.0014112272628726415,0.005273272761439084
