,Class 0: Selective,Class 1: Pure Hemolytic,Class 2: Both Active/Toxic,Class 3: Inactive
AE,0.0006065137436354673,0.00048316790771214303,0.0001171121042142443,0.0002471487595976444
AH,0.0003188583254694404,0.00021750124993461238,0.00015457315427437618,0.0007093413034684944
AI,0.0017970313786159224,0.0012566008574705625,0.00046809742860800987,0.00016722725028862044
AM,0.0014423419241527855,0.0005136732820266206,0.0007352881902123105,0.001284276914603774
AP,0.000334296917009671,0.0005888777373200957,0.00017145069849938167,0.001177541979396561
APAAC1,0.0007246083186084206,0.0014748441093310818,0.0008944173012170462,0.0014682445561615281
APAAC11,0.0008991243557481136,0.012446800974190089,0.00012141633333315069,0.013736723318261925
APAAC4,0.0023757815949938268,0.0003062167468724454,0.0018051067156785938,0.005109599573094495
APAAC8,0.0,0.0007842109131490075,0.0010470407699268208,0.0012697424662085261
AS,0.00030330896728833744,0.0,0.0001729553499478011,0.0002804325520410729
AY,0.0,0.0,0.0,0.0
CD,0.0,0.0,0.0,0.0
CF,0.0012276703153735516,0.000424697838978896,0.0003763576887076673,0.0012489226586018956
CG,0.0017402054472904068,0.0,0.001334638629900431,6.2844941274418e-05
CL,0.0009738590675806096,0.0,0.00025473220335345335,0.0013958936461004956
CN,0.002295496967075285,0.00033146563260253494,2.3791604288449923e-05,0.0019692735066268985
CS,0.0003247046520912305,0.0008543840135802873,0.00017439939331688467,0.0015918885577201234
CT,0.0,0.0,0.0,0.0
CV,0.0027457918343224527,0.0005304653335929039,0.0002147648364502359,0.0036293555734721724
CY,0.001793201649464099,7.974733662288777e-05,0.0015425392204070035,0.003295821904629225
DI,0.00039016187341732927,0.0,0.000122447568260459,0.0005911590856718961
DR,0.0,0.0,0.0,0.0
DS,0.0,0.0,0.0,0.0
ES,0.00014715209754992536,0.0010088831863137597,7.528125596174357e-05,0.0012101542340361773
ET,0.0015231903122899977,0.0002358807647451373,0.00016616976272944118,0.0014126461599179643
FD,0.0,0.0,0.0,0.0
FE,0.0,0.0,0.0,0.0
FL,0.010101156673560789,0.0062111617301601725,0.0007122187886959515,0.002002735237386941
FS,0.001956983421444655,0.0003973438967737879,0.0006364472746409669,0.001128199714808041
GN,0.0006820833952989799,0.0013983943145678443,0.00042914935495466747,0.00313763687119471
